q_number	q_type	q_variable	q_text	a_1	a_2	a_3	a_4	a_5	a_6	a_7	a_8	a_9	a_10
1	radioButtons	tpt_allow_deesc	Would you like to be able to skip doses when deescalating?	Yes	No								
2	numeric	n_sims$tpt	How many simulations would you like to run?	1	10000	1							
